dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.6980,0.6630
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.7085,0.6593
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.7090,0.6615
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.6957,0.6635
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.7173,0.6717
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.6985,0.6660
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.7035,0.6535
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.7053,0.6735
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.7200,0.6615
eph-cf/limit-0.75,20000,30.0000,12.2117,17.7884,764.5186,285.7708,478.7477,0.0000,0.0000,0.0000,24.4840,22.4015,25.9136,0.8465,18.2226,33.6480,0.7045,0.6332
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7115,0.6488
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7165,0.6418
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7215,0.6565
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7245,0.6600
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7310,0.6490
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7205,0.6552
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7145,0.6525
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7180,0.6405
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7340,0.6552
eph-cf/limit-0.5,20000,30.0000,12.2117,17.7884,515.2057,195.1212,320.0845,0.0000,0.0000,0.0000,16.1735,14.9783,16.9941,0.3774,18.2226,25.0989,0.7067,0.6565
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.8317,0.6613
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.8130,0.6710
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.8125,0.6747
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.8185,0.6552
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.7955,0.6725
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.7905,0.6623
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.7788,0.6745
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.8010,0.6827
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.7985,0.6455
eph-cf/limit-0.3,20000,30.0000,12.2117,17.7884,341.5038,132.7732,208.7305,0.0000,0.0000,0.0000,10.3835,9.8727,10.7341,0.1653,18.2226,21.2345,0.7935,0.6917
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8478,0.6830
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8655,0.6963
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8655,0.6963
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8420,0.7017
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8482,0.6800
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8522,0.6940
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8515,0.7063
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8572,0.6813
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8608,0.6943
eph-cf/limit-0.2,20000,30.0000,12.2117,17.7884,255.6767,102.1741,153.5026,0.0000,0.0000,0.0000,7.5226,7.3669,7.6294,0.0993,18.2226,20.0318,0.8478,0.6920
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.9050,0.7853
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.9095,0.7728
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.9210,0.7825
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.9167,0.7778
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.8998,0.7780
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.9018,0.7625
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.8900,0.7715
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.9127,0.7755
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.8982,0.7800
eph-cf/limit-0.1,20000,30.0000,12.2117,17.7884,160.7303,67.1483,93.5820,0.0000,0.0000,0.0000,4.3577,4.4987,4.2609,0.0497,18.2226,19.1282,0.8998,0.7810
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9647,0.8552
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9550,0.8582
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9463,0.8715
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9613,0.8608
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9577,0.8625
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9600,0.8625
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9605,0.8605
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9575,0.8620
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9553,0.8648
eph-cf/limit-0.05,20000,30.0000,12.2117,17.7884,104.2536,45.3550,58.8986,0.0000,0.0000,0.0000,2.4751,2.7141,2.3111,0.0321,18.2226,18.8083,0.9567,0.8562
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9825,0.9483
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9782,0.9510
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9792,0.9523
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9805,0.9467
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9708,0.9403
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9832,0.9347
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9840,0.9355
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9820,0.9477
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9818,0.9387
eph-cf/limit-0.025,20000,30.0000,12.2117,17.7884,70.0629,31.1682,38.8948,0.0000,0.0000,0.0000,1.3354,1.5523,1.1865,0.0251,18.2226,18.6804,0.9738,0.9433
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9940,0.9882
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9930,0.9882
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9942,0.9830
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9915,0.9910
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9885,0.9868
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9908,0.9865
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9962,0.9862
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9900,0.9898
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9960,0.9880
eph-cf/limit-0.01,20000,30.0000,12.2117,17.7884,47.7054,20.8930,26.8123,0.0000,0.0000,0.0000,0.5902,0.7109,0.5073,0.0213,18.2226,18.6108,0.9945,0.9898
