dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/mnt/ramdisk/def-base-c1/limit-1,20000,30.0000,12.2117,17.7884,927.7035,343.9561,583.7474,0.0000,0.0000,0.0000,29.9235,27.1662,31.8163,1.2866,18.2226,41.6671,0.6800,0.6885
/mnt/ramdisk/def-base-c1/limit-0.75,20000,30.0000,12.2117,17.7884,690.6556,255.1561,435.4995,0.0000,0.0000,0.0000,22.0219,19.8945,23.4823,0.6875,18.2226,30.7504,0.7275,0.6693
/mnt/ramdisk/def-base-c1/limit-0.5,20000,30.0000,12.2117,17.7884,469.9409,177.2669,292.6741,0.0000,0.0000,0.0000,14.6647,13.5162,15.4531,0.3216,18.2226,24.0838,0.7658,0.6855
/mnt/ramdisk/def-base-c2/limit-1,20000,30.0000,12.2117,17.7884,1013.8501,379.9133,633.9367,0.0000,0.0000,0.0000,32.7950,30.1107,34.6377,1.4480,18.2226,44.6086,0.6472,0.6777
/mnt/ramdisk/def-base-c2/limit-0.75,20000,30.0000,12.2117,17.7884,764.9094,285.8263,479.0832,0.0000,0.0000,0.0000,24.4970,22.4060,25.9324,0.8609,18.2226,33.9104,0.6767,0.6577
/mnt/ramdisk/def-base-c2/limit-0.5,20000,30.0000,12.2117,17.7884,517.3468,195.8608,321.4859,0.0000,0.0000,0.0000,16.2449,15.0389,17.0728,0.3767,18.2226,25.0880,0.7188,0.6518
/mnt/ramdisk/def-base-c3/limit-1,20000,30.0000,12.2117,17.7884,1041.0165,389.8492,651.1673,0.0000,0.0000,0.0000,33.7005,30.9244,35.6064,1.5012,18.2226,45.5786,0.4983,0.6577
/mnt/ramdisk/def-base-c3/limit-0.75,20000,30.0000,12.2117,17.7884,783.5347,292.1076,491.4271,0.0000,0.0000,0.0000,25.1178,22.9204,26.6263,0.8723,18.2226,34.1179,0.6813,0.6685
/mnt/ramdisk/def-base-c3/limit-0.5,20000,30.0000,12.2117,17.7884,530.5065,201.0117,329.4949,0.0000,0.0000,0.0000,16.6836,15.4606,17.5231,0.3845,18.2226,25.2286,0.7455,0.6518
/mnt/ramdisk/def-base-c4/limit-1,20000,30.0000,12.2117,17.7884,1054.7856,393.7750,661.0106,0.0000,0.0000,0.0000,34.1595,31.2458,36.1597,1.5785,18.2226,46.9876,0.5118,0.6840
/mnt/ramdisk/def-base-c4/limit-0.75,20000,30.0000,12.2117,17.7884,798.0050,299.5143,498.4907,0.0000,0.0000,0.0000,25.6002,23.5269,27.0234,0.9021,18.2226,34.6605,0.7035,0.6657
/mnt/ramdisk/def-base-c4/limit-0.5,20000,30.0000,12.2117,17.7884,534.8266,202.1206,332.7061,0.0000,0.0000,0.0000,16.8276,15.5515,17.7036,0.3923,18.2226,25.3712,0.7160,0.6392
/mnt/ramdisk/def-base-c5/limit-1,20000,30.0000,12.2117,17.7884,1054.7645,392.3567,662.4078,0.0000,0.0000,0.0000,34.1588,31.1297,36.2383,1.5571,18.2226,46.5970,0.6340,0.6800
/mnt/ramdisk/def-base-c5/limit-0.75,20000,30.0000,12.2117,17.7884,794.5627,296.0023,498.5604,0.0000,0.0000,0.0000,25.4854,23.2393,27.0274,0.8932,18.2226,34.4989,0.7010,0.6607
