dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/cf-tune-2/1000-starting-config/limit-1,20000,30.0000,12.2117,17.7884,429.0336,178.3659,250.6677,0.0000,0.0000,0.0000,13.3011,13.6062,13.0917,1.2807,18.2226,41.5596,0.8243,0.6907
/home/tobipull/cf-tune-2/1000-starting-config/limit-0.75,20000,30.0000,12.2117,17.7884,291.8625,124.6607,167.2018,0.0000,0.0000,0.0000,8.7287,9.2083,8.3995,0.6945,18.2226,30.8778,0.8660,0.7230
/home/tobipull/cf-tune-2/1000-starting-config/limit-0.5,20000,30.0000,12.2117,17.7884,186.4354,82.5281,103.9073,0.0000,0.0000,0.0000,5.2145,5.7581,4.8413,0.2930,18.2226,23.5612,0.9197,0.7605
/home/tobipull/cf-tune-2/59-crp[81..108]steps[27770..47491]dRange(0.555..0.954)/limit-1,20000,30.0000,12.2117,17.7884,547.3499,236.8481,310.5018,0.0000,0.0000,0.0000,17.2450,18.3953,16.4553,2.6444,18.2226,66.4102,0.7702,0.7362
/home/tobipull/cf-tune-2/59-crp[81..108]steps[27770..47491]dRange(0.555..0.954)/limit-0.75,20000,30.0000,12.2117,17.7884,359.7993,160.0332,199.7661,0.0000,0.0000,0.0000,10.9933,12.1050,10.2302,1.2290,18.2226,40.6182,0.8385,0.7275
/home/tobipull/cf-tune-2/59-crp[81..108]steps[27770..47491]dRange(0.555..0.954)/limit-0.5,20000,30.0000,12.2117,17.7884,210.2145,93.0675,117.1470,0.0000,0.0000,0.0000,6.0072,6.6212,5.5856,0.4900,18.2226,27.1525,0.9058,0.7542
/home/tobipull/cf-tune-2/1000-inctrue/limit-1,20000,30.0000,12.2117,17.7884,454.1640,186.8085,267.3555,0.0000,0.0000,0.0000,14.1388,14.2976,14.0298,1.3459,18.2226,42.7487,0.8177,0.7015
/home/tobipull/cf-tune-2/1000-inctrue/limit-0.75,20000,30.0000,12.2117,17.7884,313.4724,132.5138,180.9587,0.0000,0.0000,0.0000,9.4491,9.8514,9.1729,0.7329,18.2226,31.5787,0.8668,0.7163
/home/tobipull/cf-tune-2/1000-inctrue/limit-0.5,20000,30.0000,12.2117,17.7884,198.5744,87.0099,111.5645,0.0000,0.0000,0.0000,5.6191,6.1252,5.2718,0.3091,18.2226,23.8543,0.9215,0.7535
/home/tobipull/cf-tune-2/1000-incfalse/limit-1,20000,30.0000,12.2117,17.7884,429.0336,178.3659,250.6677,0.0000,0.0000,0.0000,13.3011,13.6062,13.0917,1.2807,18.2226,41.5596,0.8243,0.6907
/home/tobipull/cf-tune-2/1000-incfalse/limit-0.75,20000,30.0000,12.2117,17.7884,291.8625,124.6607,167.2018,0.0000,0.0000,0.0000,8.7287,9.2083,8.3995,0.6945,18.2226,30.8778,0.8660,0.7230
/home/tobipull/cf-tune-2/1000-incfalse/limit-0.5,20000,30.0000,12.2117,17.7884,186.4354,82.5281,103.9073,0.0000,0.0000,0.0000,5.2145,5.7581,4.8413,0.2930,18.2226,23.5612,0.9197,0.7605
/home/tobipull/cf-tune-2/994-steps[1902..15482]/limit-1,20000,30.0000,12.2117,17.7884,412.3480,173.3208,239.0272,0.0000,0.0000,0.0000,12.7449,13.1931,12.4373,2.0909,18.2226,56.3248,0.8427,0.7065
/home/tobipull/cf-tune-2/994-steps[1902..15482]/limit-0.75,20000,30.0000,12.2117,17.7884,252.2625,116.4796,135.7829,0.0000,0.0000,0.0000,7.4087,8.5384,6.6332,1.0507,18.2226,37.3694,0.8922,0.7120
/home/tobipull/cf-tune-2/994-steps[1902..15482]/limit-0.5,20000,30.0000,12.2117,17.7884,157.1080,75.9647,81.1434,0.0000,0.0000,0.0000,4.2369,5.2207,3.5616,0.3058,18.2226,23.7951,0.9307,0.7592
/home/tobipull/cf-tune-2/1000-dRange(0.016..0.145)/limit-1,20000,30.0000,12.2117,17.7884,388.2572,188.2340,200.0231,0.0000,0.0000,0.0000,11.9419,14.4143,10.2446,0.4428,18.2226,26.2922,0.8558,0.7105
/home/tobipull/cf-tune-2/1000-dRange(0.016..0.145)/limit-0.75,20000,30.0000,12.2117,17.7884,328.6042,159.8221,168.7822,0.0000,0.0000,0.0000,9.9535,12.0877,8.4884,0.2342,18.2226,22.4905,0.8662,0.7185
/home/tobipull/cf-tune-2/1000-dRange(0.016..0.145)/limit-0.5,20000,30.0000,12.2117,17.7884,263.4427,127.1831,136.2596,0.0000,0.0000,0.0000,7.7814,9.4149,6.6600,0.1436,18.2226,20.8400,0.8755,0.7302
/home/tobipull/cf-tune-2/1000-flfalsetraces[TorCircuit]num[1..4]steps[55633..58122]/limit-1,20000,30.0000,12.2117,17.7884,339.0107,154.3700,184.6407,0.0000,0.0000,0.0000,10.3004,11.6412,9.3799,1.0761,18.2226,37.8316,0.8622,0.7305
/home/tobipull/cf-tune-2/1000-flfalsetraces[TorCircuit]num[1..4]steps[55633..58122]/limit-0.75,20000,30.0000,12.2117,17.7884,248.3474,116.3499,131.9975,0.0000,0.0000,0.0000,7.2782,8.5278,6.4204,0.5809,18.2226,28.8078,0.8952,0.7212
/home/tobipull/cf-tune-2/1000-flfalsetraces[TorCircuit]num[1..4]steps[55633..58122]/limit-0.5,20000,30.0000,12.2117,17.7884,166.2109,79.1412,87.0696,0.0000,0.0000,0.0000,4.5404,5.4808,3.8948,0.2554,18.2226,22.8774,0.9217,0.7875
/home/tobipull/cf-tune-2/1000-steps[650..15921]/limit-1,20000,30.0000,12.2117,17.7884,410.3282,175.2044,235.1238,0.0000,0.0000,0.0000,12.6776,13.3473,12.2179,1.9190,18.2226,53.1923,0.8367,0.7235
/home/tobipull/cf-tune-2/1000-steps[650..15921]/limit-0.75,20000,30.0000,12.2117,17.7884,265.1030,120.4397,144.6633,0.0000,0.0000,0.0000,7.8368,8.8627,7.1325,0.8044,18.2226,32.8807,0.8880,0.7338
/home/tobipull/cf-tune-2/1000-steps[650..15921]/limit-0.5,20000,30.0000,12.2117,17.7884,167.5161,79.5439,87.9721,0.0000,0.0000,0.0000,4.5839,5.5138,3.9455,0.3071,18.2226,23.8182,0.9193,0.7335
/home/tobipull/cf-tune-2/642-dRange(0.627..1.032)/limit-1,20000,30.0000,12.2117,17.7884,559.0072,225.6582,333.3490,0.0000,0.0000,0.0000,17.6336,17.4789,17.7397,2.5078,18.2226,63.9219,0.7843,0.6935
/home/tobipull/cf-tune-2/642-dRange(0.627..1.032)/limit-0.75,20000,30.0000,12.2117,17.7884,399.4540,158.9892,240.4648,0.0000,0.0000,0.0000,12.3151,12.0195,12.5181,1.2296,18.2226,40.6294,0.8423,0.7140
/home/tobipull/cf-tune-2/642-dRange(0.627..1.032)/limit-0.5,20000,30.0000,12.2117,17.7884,238.5518,96.1225,142.4293,0.0000,0.0000,0.0000,6.9517,6.8714,7.0069,0.5413,18.2226,28.0868,0.8835,0.7270
/home/tobipull/cf-tune-2/50-fltruedRange(1.139..2.405)/limit-1,20000,30.0000,12.2117,17.7884,594.2397,258.9830,335.2566,0.0000,0.0000,0.0000,18.8080,20.2079,17.8470,8.4072,18.2226,171.4235,0.7855,0.7268
/home/tobipull/cf-tune-2/50-fltruedRange(1.139..2.405)/limit-0.75,20000,30.0000,12.2117,17.7884,350.7144,156.3973,194.3171,0.0000,0.0000,0.0000,10.6905,11.8072,9.9238,2.1339,18.2226,57.1079,0.8658,0.7388
/home/tobipull/cf-tune-2/50-fltruedRange(1.139..2.405)/limit-0.5,20000,30.0000,12.2117,17.7884,160.5737,73.5995,86.9742,0.0000,0.0000,0.0000,4.3525,5.0270,3.8894,0.6466,18.2226,30.0061,0.9325,0.7975
/home/tobipull/cf-tune-2/1000-states[2..3]drp[38269..277510]incfalse/limit-1,20000,30.0000,12.2117,17.7884,567.7414,246.6523,321.0891,0.0000,0.0000,0.0000,17.9247,19.1981,17.0505,1.8845,18.2226,52.5624,0.8025,0.7150
/home/tobipull/cf-tune-2/1000-states[2..3]drp[38269..277510]incfalse/limit-0.75,20000,30.0000,12.2117,17.7884,378.0762,169.7911,208.2851,0.0000,0.0000,0.0000,11.6025,12.9040,10.7091,0.7708,18.2226,32.2695,0.8575,0.6933
/home/tobipull/cf-tune-2/1000-states[2..3]drp[38269..277510]incfalse/limit-0.5,20000,30.0000,12.2117,17.7884,240.2170,111.3684,128.8486,0.0000,0.0000,0.0000,7.0072,8.1198,6.2434,0.3287,18.2226,24.2133,0.9052,0.7278
/home/tobipull/cf-tune-2/1000-drp[345540..370547]/limit-1,20000,30.0000,12.2117,17.7884,307.9814,130.1339,177.8475,0.0000,0.0000,0.0000,9.2660,9.6565,8.9980,1.4599,18.2226,44.8263,0.8595,0.7175
/home/tobipull/cf-tune-2/1000-drp[345540..370547]/limit-0.75,20000,30.0000,12.2117,17.7884,213.6737,90.9158,122.7579,0.0000,0.0000,0.0000,6.1225,6.4450,5.9010,0.7471,18.2226,31.8376,0.9010,0.7490
/home/tobipull/cf-tune-2/1000-drp[345540..370547]/limit-0.5,20000,30.0000,12.2117,17.7884,144.3265,61.6387,82.6878,0.0000,0.0000,0.0000,3.8109,4.0475,3.6484,0.3296,18.2226,24.2294,0.9293,0.7945
/home/tobipull/cf-tune-2/1000-crp[199..968]traces[TorCircuit]num[1..1]/limit-1,20000,30.0000,12.2117,17.7884,314.2566,138.3459,175.9107,0.0000,0.0000,0.0000,9.4752,10.3290,8.8891,0.7820,18.2226,32.4725,0.8842,0.7338
/home/tobipull/cf-tune-2/1000-crp[199..968]traces[TorCircuit]num[1..1]/limit-0.75,20000,30.0000,12.2117,17.7884,245.6106,108.0874,137.5233,0.0000,0.0000,0.0000,7.1870,7.8512,6.7311,0.4923,18.2226,27.1939,0.9160,0.7618
/home/tobipull/cf-tune-2/1000-crp[199..968]traces[TorCircuit]num[1..1]/limit-0.5,20000,30.0000,12.2117,17.7884,170.8424,76.2107,94.6317,0.0000,0.0000,0.0000,4.6947,5.2408,4.3199,0.2366,18.2226,22.5338,0.9310,0.7937
/home/tobipull/cf-tune-2/1000-crp[55..113]mat[354..565]clRange(1.354..2.386)/limit-1,20000,30.0000,12.2117,17.7884,370.7650,127.5948,243.1702,0.0000,0.0000,0.0000,11.3588,9.4486,12.6702,1.4594,18.2226,44.8170,0.8542,0.7125
/home/tobipull/cf-tune-2/1000-crp[55..113]mat[354..565]clRange(1.354..2.386)/limit-0.75,20000,30.0000,12.2117,17.7884,251.6619,93.7759,157.8861,0.0000,0.0000,0.0000,7.3887,6.6792,7.8758,0.6554,18.2226,30.1652,0.8935,0.7390
/home/tobipull/cf-tune-2/1000-crp[55..113]mat[354..565]clRange(1.354..2.386)/limit-0.5,20000,30.0000,12.2117,17.7884,158.0962,64.6905,93.4057,0.0000,0.0000,0.0000,4.2699,4.2974,4.2510,0.2804,18.2226,23.3327,0.9165,0.7675
/home/tobipull/cf-tune-2/232-att257slRange(1.398..1.725)/limit-1,20000,30.0000,12.2117,17.7884,272.6707,148.2778,124.3929,0.0000,0.0000,0.0000,8.0890,11.1423,5.9929,1.3785,18.2226,43.3421,0.9137,0.7698
/home/tobipull/cf-tune-2/232-att257slRange(1.398..1.725)/limit-0.75,20000,30.0000,12.2117,17.7884,200.4517,104.8620,95.5897,0.0000,0.0000,0.0000,5.6817,7.5871,4.3737,0.6104,18.2226,29.3463,0.9297,0.7963
/home/tobipull/cf-tune-2/232-att257slRange(1.398..1.725)/limit-0.5,20000,30.0000,12.2117,17.7884,131.1079,66.2622,64.8458,0.0000,0.0000,0.0000,3.3703,4.4261,2.6454,0.2387,18.2226,22.5724,0.9585,0.8050
/home/tobipull/cf-tune-2/1000-traces[TorCircuit]num[1..2]inctrue/limit-1,20000,30.0000,12.2117,17.7884,353.2302,148.1458,205.0844,0.0000,0.0000,0.0000,10.7743,11.1315,10.5291,1.2577,18.2226,41.1406,0.8520,0.7080
/home/tobipull/cf-tune-2/1000-traces[TorCircuit]num[1..2]inctrue/limit-0.75,20000,30.0000,12.2117,17.7884,262.7489,111.7057,151.0432,0.0000,0.0000,0.0000,7.7583,8.1475,7.4911,0.5713,18.2226,28.6341,0.8815,0.7242
/home/tobipull/cf-tune-2/1000-traces[TorCircuit]num[1..2]inctrue/limit-0.5,20000,30.0000,12.2117,17.7884,177.0042,78.2842,98.7200,0.0000,0.0000,0.0000,4.9001,5.4106,4.5497,0.2821,18.2226,23.3625,0.9243,0.7672
/home/tobipull/cf-tune-2/226-crp[224..317]mat[325..572]steps[70879..92893]slRange(3.002..5.044)incfalse/limit-1,20000,30.0000,12.2117,17.7884,367.4137,155.2223,212.1915,0.0000,0.0000,0.0000,11.2471,11.7110,10.9287,1.6073,18.2226,47.5113,0.8660,0.7133
/home/tobipull/cf-tune-2/226-crp[224..317]mat[325..572]steps[70879..92893]slRange(3.002..5.044)incfalse/limit-0.75,20000,30.0000,12.2117,17.7884,229.7797,100.4002,129.3794,0.0000,0.0000,0.0000,6.6593,7.2217,6.2733,0.7535,18.2226,31.9534,0.9117,0.7600
/home/tobipull/cf-tune-2/226-crp[224..317]mat[325..572]steps[70879..92893]slRange(3.002..5.044)incfalse/limit-0.5,20000,30.0000,12.2117,17.7884,146.1461,67.2609,78.8852,0.0000,0.0000,0.0000,3.8715,4.5079,3.4347,0.2850,18.2226,23.4167,0.9350,0.7722
