dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2300,0.1910
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2520,0.2140
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2580,0.1980
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2360,0.1740
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2330,0.1850
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2420,0.1860
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2630,0.2140
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2490,0.1910
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2570,0.1960
/home/tobipull/tmp/eph-blocking-inf-default/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,0.2430,0.1790
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0310,0.0240
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0340,0.0130
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0360,0.0190
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0270,0.0200
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0290,0.0200
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0330,0.0240
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0350,0.0250
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0290,0.0170
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0350,0.0230
/home/tobipull/tmp/eph-blocking-inf-bw1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,0.0420,0.0230
/home/tobipull/tmp/eph-blocking-inf-bw2/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401314.0722,141100.2995,260213.7727,0.0000,0.0000,0.0000,1.7599,1.8476,1.7146,0.8103,331.6522,600.3980,0.0910,0.0300
/home/tobipull/tmp/eph-blocking-inf-bw2/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401314.0722,141100.2995,260213.7727,0.0000,0.0000,0.0000,1.7599,1.8476,1.7146,0.8103,331.6522,600.3980,0.0970,0.0240
/home/tobipull/tmp/eph-blocking-inf-bw2/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401314.0722,141100.2995,260213.7727,0.0000,0.0000,0.0000,1.7599,1.8476,1.7146,0.8103,331.6522,600.3980,0.0920,0.0310
/home/tobipull/tmp/eph-blocking-inf-bw2/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401314.0722,141100.2995,260213.7727,0.0000,0.0000,0.0000,1.7599,1.8476,1.7146,0.8103,331.6522,600.3980,0.0780,0.0270
/home/tobipull/tmp/eph-blocking-inf-bw2/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401314.0722,141100.2995,260213.7727,0.0000,0.0000,0.0000,1.7599,1.8476,1.7146,0.8103,331.6522,600.3980,0.0580,0.0350
/home/tobipull/tmp/eph-blocking-inf-bw2/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401314.0722,141100.2995,260213.7727,0.0000,0.0000,0.0000,1.7599,1.8476,1.7146,0.8103,331.6522,600.3980,0.0770,0.0340
