dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,0.0100,0.0100
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0140,0.0100
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0010,0.0100
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0010,0.0000
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0120,0.0020
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0120,0.0050
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0030,0.0050
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0100,0.0030
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0000,0.0020
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0000,0.0040
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,0.0000,0.0000
/home/tobipull/tmp/scrambler-inf-bw2/,10000,145406.9267,49549.9500,95856.9767,2247644.4462,108265.3965,2139379.0497,0.0083,0.0084,0.0083,14.4576,1.1850,21.3184,0.3165,328.9411,433.0577,0.0100,0.0070
/home/tobipull/tmp/scrambler-inf-bw2/,10000,145406.9267,49549.9500,95856.9767,2247644.4462,108265.3965,2139379.0497,0.0083,0.0084,0.0083,14.4576,1.1850,21.3184,0.3165,328.9411,433.0577,0.0100,0.0040
/home/tobipull/tmp/scrambler-inf-bw2/,10000,145406.9267,49549.9500,95856.9767,2247644.4462,108265.3965,2139379.0497,0.0083,0.0084,0.0083,14.4576,1.1850,21.3184,0.3165,328.9411,433.0577,0.0110,0.0070
