dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/LongEnough/none-none/,10000,176133.6577,56173.0940,119960.5637,176133.6577,56173.0940,119960.5637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.1527,331.1527,1.0000,0.9940
/home/tobipull/LongEnough-variable-extended/none-none-bw1/,10000,103381.5308,35227.2288,68154.3020,103381.5308,35227.2288,68154.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.9563,331.9563,0.8640,0.7720
/home/tobipull/LongEnough-variable-extended/none-none-bw2/,10000,145406.9267,49549.9500,95856.9767,145406.9267,49549.9500,95856.9767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.6522,331.6522,0.9270,0.9000
/home/tobipull/LongEnough-variable-extended/none-none-bw4/,10000,176325.4970,59903.0255,116422.4715,176325.4970,59903.0255,116422.4715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.3417,331.3417,0.9810,0.9660
/home/tobipull/LongEnough-variable/none-none-bw8/,10000,182040.6249,61410.1994,120630.4255,182040.6249,61410.1994,120630.4255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.1738,331.1738,0.9980,0.9870
/home/tobipull/LongEnough/none-none/,10000,176133.6577,56173.0940,119960.5637,176133.6577,56173.0940,119960.5637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.1527,331.1527,1.0000,0.9980
/home/tobipull/LongEnough-variable-extended/none-none-bw1/,10000,103381.5308,35227.2288,68154.3020,103381.5308,35227.2288,68154.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.9563,331.9563,0.8940,0.8270
/home/tobipull/LongEnough-variable-extended/none-none-bw2/,10000,145406.9267,49549.9500,95856.9767,145406.9267,49549.9500,95856.9767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.6522,331.6522,0.9360,0.8930
/home/tobipull/LongEnough-variable-extended/none-none-bw4/,10000,176325.4970,59903.0255,116422.4715,176325.4970,59903.0255,116422.4715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.3417,331.3417,0.9810,0.9740
/home/tobipull/LongEnough-variable/none-none-bw8/,10000,182040.6249,61410.1994,120630.4255,182040.6249,61410.1994,120630.4255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.1738,331.1738,0.9990,0.9850
