dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/tmp/eph-blocking-inf-default-seed0/limit-0.75,10000,176133.6577,56173.0940,119960.5637,412411.5646,143087.1829,269324.3817,0.0000,0.0000,0.0000,1.3415,1.5473,1.2451,0.7502,331.1527,579.5852,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw1-seed0/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297023.8573,103746.7961,193277.0612,0.0000,0.0000,0.0000,1.8731,1.9451,1.8359,0.7960,331.9563,596.1868,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw2-seed0/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401314.0722,141100.2995,260213.7727,0.0000,0.0000,0.0000,1.7599,1.8476,1.7146,0.8103,331.6522,600.3980,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw4-seed0/limit-0.75,10000,176325.4970,59903.0255,116422.4715,467812.8792,165010.9039,302801.9753,0.0000,0.0000,0.0000,1.6531,1.7546,1.6009,0.7940,331.3417,594.4255,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw8-seed0/limit-0.75,10000,182040.6249,61410.1994,120630.4255,464720.6265,164263.6440,300456.9825,0.0000,0.0000,0.0000,1.5528,1.6749,1.4907,0.7567,331.1738,581.7579,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-default-seed1/limit-0.75,10000,176133.6577,56173.0940,119960.5637,411428.1995,143472.5278,267955.6717,0.0000,0.0000,0.0000,1.3359,1.5541,1.2337,0.7446,331.1527,577.7449,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw1-seed1/limit-0.75,10000,103381.5308,35227.2288,68154.3020,296717.8416,103893.4399,192824.4017,0.0000,0.0000,0.0000,1.8701,1.9492,1.8292,0.7938,331.9563,595.4690,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw2-seed1/limit-0.75,10000,145406.9267,49549.9500,95856.9767,399932.3822,141176.2327,258756.1495,0.0000,0.0000,0.0000,1.7504,1.8492,1.6994,0.8069,331.6522,599.2545,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw4-seed1/limit-0.75,10000,176325.4970,59903.0255,116422.4715,466068.8614,165379.1154,300689.7460,0.0000,0.0000,0.0000,1.6432,1.7608,1.5827,0.7831,331.3417,590.7993,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw8-seed1/limit-0.75,10000,182040.6249,61410.1994,120630.4255,462864.8255,164622.5195,298242.3060,0.0000,0.0000,0.0000,1.5426,1.6807,1.4724,0.7490,331.1738,579.2238,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-default-seed2/limit-0.75,10000,176133.6577,56173.0940,119960.5637,414417.0942,144512.3196,269904.7746,0.0000,0.0000,0.0000,1.3529,1.5726,1.2499,0.7477,331.1527,578.7526,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw1-seed2/limit-0.75,10000,103381.5308,35227.2288,68154.3020,297645.0246,104303.7724,193341.2522,0.0000,0.0000,0.0000,1.8791,1.9609,1.8368,0.7928,331.9563,595.1392,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw2-seed2/limit-0.75,10000,145406.9267,49549.9500,95856.9767,401690.7721,141788.8795,259901.8926,0.0000,0.0000,0.0000,1.7625,1.8615,1.7114,0.8080,331.6522,599.6339,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw4-seed2/limit-0.75,10000,176325.4970,59903.0255,116422.4715,468468.1611,165920.2839,302547.8772,0.0000,0.0000,0.0000,1.6568,1.7698,1.5987,0.7867,331.3417,592.0026,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw8-seed2/limit-0.75,10000,182040.6249,61410.1994,120630.4255,465819.7757,165380.9902,300438.7855,0.0000,0.0000,0.0000,1.5589,1.6931,1.4906,49.1938,331.1738,16622.8853,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-default-seed3/limit-0.75,10000,176133.6577,56173.0940,119960.5637,409974.4828,143260.8773,266713.6055,0.0000,0.0000,0.0000,1.3276,1.5503,1.2233,0.7512,331.1527,579.9083,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw1-seed3/limit-0.75,10000,103381.5308,35227.2288,68154.3020,296345.7554,104197.3408,192148.4146,0.0000,0.0000,0.0000,1.8665,1.9579,1.8193,0.7909,331.9563,594.5031,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw2-seed3/limit-0.75,10000,145406.9267,49549.9500,95856.9767,399097.0501,141376.1591,257720.8910,0.0000,0.0000,0.0000,1.7447,1.8532,1.6886,0.8060,331.6522,598.9761,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw4-seed3/limit-0.75,10000,176325.4970,59903.0255,116422.4715,465191.7355,165315.6268,299876.1087,0.0000,0.0000,0.0000,1.6383,1.7597,1.5758,0.7896,331.3417,592.9762,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw8-seed3/limit-0.75,10000,182040.6249,61410.1994,120630.4255,461735.5555,164465.5903,297269.9652,0.0000,0.0000,0.0000,1.5364,1.6781,1.4643,0.7565,331.1738,581.7167,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-default-seed4/limit-0.75,10000,176133.6577,56173.0940,119960.5637,413301.2704,144124.0315,269177.2389,0.0000,0.0000,0.0000,1.3465,1.5657,1.2439,0.7399,331.1527,576.1640,-1.0000,-1.0000
/home/tobipull/tmp/eph-blocking-inf-bw1-seed4/limit-0.75,10000,103381.5308,35227.2288,68154.3020,296468.0917,104130.5247,192337.5670,0.0000,0.0000,0.0000,1.8677,1.9560,1.8221,0.7869,331.9563,593.1833,-1.0000,-1.0000
