dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639236.1728,136442.3192,502793.8536,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7653,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547450.5464,95241.2648,2452209.2816,0.0429,0.0430,0.0428,23.6413,1.7036,34.9803,0.1991,317.7044,380.9613,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw2/,10000,145406.9267,49549.9500,95856.9767,2247644.4462,108265.3965,2139379.0497,0.0083,0.0084,0.0083,14.4576,1.1850,21.3184,0.3165,328.9411,433.0577,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw4/,10000,176325.4970,59903.0255,116422.4715,1606101.8866,118861.7570,1487240.1296,0.0000,0.0000,0.0000,8.1087,0.9842,11.7745,0.4349,331.3417,475.4430,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw8/,10000,182040.6249,61410.1994,120630.4255,1018302.9323,130028.4823,888274.4500,0.0000,0.0000,0.0000,4.5938,1.1174,6.3636,0.5705,331.1738,520.1099,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639239.1830,136442.1564,502797.0266,0.0000,0.0000,0.0000,2.6293,1.4290,3.1914,0.6481,331.1527,545.7646,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547796.4026,95233.2257,2452563.1769,0.0431,0.0433,0.0431,23.6446,1.7034,34.9854,0.1992,317.6484,380.9291,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw2/,10000,145406.9267,49549.9500,95856.9767,2247440.7936,108263.7126,2139177.0810,0.0084,0.0085,0.0084,14.4562,1.1849,21.3163,0.3166,328.9179,433.0509,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw4/,10000,176325.4970,59903.0255,116422.4715,1606567.0811,118865.7147,1487701.3664,0.0000,0.0000,0.0000,8.1114,0.9843,11.7785,0.4350,331.3417,475.4589,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw8/,10000,182040.6249,61410.1994,120630.4255,1018213.2565,130033.7864,888179.4701,0.0000,0.0000,0.0000,4.5933,1.1175,6.3628,0.5706,331.1738,520.1311,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-default/,10000,176133.6577,56173.0940,119960.5637,639235.9795,136442.1926,502793.7869,0.0000,0.0000,0.0000,2.6293,1.4290,3.1913,0.6481,331.1527,545.7648,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw1/,10000,103381.5308,35227.2288,68154.3020,2547606.1607,95246.3052,2452359.8555,0.0430,0.0431,0.0429,23.6428,1.7038,34.9825,0.1992,317.6993,380.9814,-1.0000,-1.0000
/home/tobipull/tmp/scrambler-inf-bw2/,10000,145406.9267,49549.9500,95856.9767,2247251.6325,108252.8349,2138998.7976,0.0085,0.0086,0.0084,14.4549,1.1847,21.3145,0.3165,328.8975,433.0074,-1.0000,-1.0000
