dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u4.5-c0.5-r100-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,7404.8899,1651.4432,5753.4468,0.0000,0.0000,0.0000,0.7678,3.7460,0.4980,19.2993,28.0652,569.7048,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r200-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,7842.5314,1632.5692,6209.9622,0.0000,0.0000,0.0000,0.8723,3.6918,0.6168,2.7700,28.0652,105.8063,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r300-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,7947.2894,1609.9404,6337.3491,0.0000,0.0000,0.0000,0.8973,3.6268,0.6500,3.0307,28.0652,113.1232,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r400-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8006.5099,1594.4897,6412.0203,0.0000,0.0000,0.0000,0.9114,3.5824,0.6694,4.1472,28.0652,144.4567,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r500-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8047.1746,1578.9663,6468.2083,0.0000,0.0000,0.0000,0.9211,3.5377,0.6841,5.6225,28.0652,185.8625,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r600-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8078.5128,1566.3644,6512.1484,0.0000,0.0000,0.0000,0.9286,3.5015,0.6955,7.3160,28.0652,233.3905,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r700-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8094.6324,1547.3064,6547.3259,0.0000,0.0000,0.0000,0.9324,3.4468,0.7047,9.1366,28.0652,284.4862,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r800-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8104.3078,1528.1046,6576.2033,0.0000,0.0000,0.0000,0.9348,3.3916,0.7122,11.0736,28.0652,338.8488,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r900-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8104.1731,1507.5157,6596.6574,0.0000,0.0000,0.0000,0.9347,3.3324,0.7175,13.0747,28.0652,395.0085,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1000-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8098.9075,1486.1883,6612.7192,0.0000,0.0000,0.0000,0.9335,3.2711,0.7217,15.1598,28.0652,453.5297,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1100-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8090.5107,1466.9109,6623.5998,0.0000,0.0000,0.0000,0.9315,3.2157,0.7245,17.2731,28.0652,512.8383,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8086.3985,1452.2994,6634.0991,0.0000,0.0000,0.0000,0.9305,3.1737,0.7272,19.3847,28.0652,572.1001,-1.0000,-1.0000
