dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5000-b10,19000,4188.8085,347.9627,3840.8458,7650.5004,1339.9196,6310.5808,0.0000,0.0000,0.0000,0.8264,2.8508,0.6430,0.0740,28.0652,30.1425,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5100-b10,19000,4188.8085,347.9627,3840.8458,7715.2224,1356.6997,6358.5227,0.0000,0.0000,0.0000,0.8419,2.8990,0.6555,0.0751,28.0652,30.1724,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5200-b10,19000,4188.8085,347.9627,3840.8458,7780.6524,1374.3069,6406.3455,0.0000,0.0000,0.0000,0.8575,2.9496,0.6680,0.0761,28.0652,30.2023,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5300-b10,19000,4188.8085,347.9627,3840.8458,7845.5726,1391.5262,6454.0464,0.0000,0.0000,0.0000,0.8730,2.9991,0.6804,0.0774,28.0652,30.2370,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5400-b10,19000,4188.8085,347.9627,3840.8458,7910.2411,1408.5860,6501.6551,0.0000,0.0000,0.0000,0.8884,3.0481,0.6928,0.0787,28.0652,30.2732,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5500-b10,19000,4188.8085,347.9627,3840.8458,7975.0652,1425.9088,6549.1563,0.0000,0.0000,0.0000,0.9039,3.0979,0.7051,0.0797,28.0652,30.3032,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5600-b10,19000,4188.8085,347.9627,3840.8458,8040.7301,1444.1819,6596.5482,0.0000,0.0000,0.0000,0.9196,3.1504,0.7175,0.0812,28.0652,30.3440,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5700-b10,19000,4188.8085,347.9627,3840.8458,8105.3035,1461.4692,6643.8344,0.0000,0.0000,0.0000,0.9350,3.2001,0.7298,0.0823,28.0652,30.3742,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5800-b10,19000,4188.8085,347.9627,3840.8458,8169.8677,1478.8500,6691.0177,0.0000,0.0000,0.0000,0.9504,3.2500,0.7421,0.0832,28.0652,30.4000,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n5900-b10,19000,4188.8085,347.9627,3840.8458,8233.8788,1495.7764,6738.1024,0.0000,0.0000,0.0000,0.9657,3.2987,0.7543,0.0843,28.0652,30.4313,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r1200-d0.98-t2.5-n6000-b10,19000,4188.8085,347.9627,3840.8458,8297.9467,1512.8714,6785.0753,0.0000,0.0000,0.0000,0.9810,3.3478,0.7666,0.0853,28.0652,30.4595,-1.0000,-1.0000
