dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
tamaraw-pc0.005-ps0.0015-w2000000.0,19000,4188.8085,347.9627,3840.8458,20551.5176,5341.8529,15209.6647,0.0126,0.0148,0.0124,3.9063,14.3518,2.9600,27.4703,26.3340,749.7361,0.3208,0.1189
tamaraw-pc0.005-ps0.0015-w4000000.0,19000,4188.8085,347.9627,3840.8458,22562.7923,5400.6495,17162.1428,0.0163,0.0192,0.0161,4.3864,14.5208,3.4683,46.8352,25.9775,1242.6419,0.2576,0.1024
tamaraw-pc0.005-ps0.0015-w6000000.0,19000,4188.8085,347.9627,3840.8458,24076.0043,5590.0165,18485.9878,0.0179,0.0210,0.0176,4.7477,15.0650,3.8130,61.3681,25.8340,1611.2167,0.1968,0.0884
tamaraw-pc0.005-ps0.0020-w2000000.0,19000,4188.8085,347.9627,3840.8458,17749.1864,5393.6832,12355.5032,0.0047,0.0061,0.0046,3.2373,14.5008,2.2169,12.7724,27.0848,373.0226,0.3303,0.1511
tamaraw-pc0.005-ps0.0020-w4000000.0,19000,4188.8085,347.9627,3840.8458,19605.0401,5682.3023,13922.7377,0.0074,0.0090,0.0073,3.6803,15.3302,2.6249,21.1005,26.7823,591.9005,0.2737,0.1195
tamaraw-pc0.005-ps0.0020-w6000000.0,19000,4188.8085,347.9627,3840.8458,21014.6491,6000.1106,15014.5385,0.0088,0.0104,0.0086,4.0169,16.2435,2.9092,27.7900,26.6347,766.8121,0.2424,0.0947
tamaraw-pc0.005-ps0.0025-w2000000.0,19000,4188.8085,347.9627,3840.8458,15766.0742,5302.8292,10463.2450,0.0018,0.0027,0.0018,2.7639,14.2396,1.7242,6.3712,27.4232,202.1425,0.3355,0.1618
tamaraw-pc0.005-ps0.0025-w4000000.0,19000,4188.8085,347.9627,3840.8458,17559.5242,5799.7752,11759.7489,0.0034,0.0046,0.0033,3.1920,15.6678,2.0618,9.6882,27.2234,290.9698,0.2547,0.1232
tamaraw-pc0.005-ps0.0025-w6000000.0,19000,4188.8085,347.9627,3840.8458,18866.7917,6184.6592,12682.1325,0.0043,0.0055,0.0042,3.5041,16.7739,2.3019,12.6646,27.1124,370.4809,0.2079,0.1058
tamaraw-pc0.005-ps0.0030-w2000000.0,19000,4188.8085,347.9627,3840.8458,14413.3130,5181.1558,9232.1572,0.0008,0.0015,0.0008,2.4409,13.8900,1.4037,3.9336,27.6054,136.1931,0.3221,0.2103
tamaraw-pc0.005-ps0.0030-w4000000.0,19000,4188.8085,347.9627,3840.8458,16234.0651,5912.5947,10321.4704,0.0016,0.0024,0.0015,2.8756,15.9920,1.6873,5.7122,27.4700,184.3840,0.2129,0.1655
