dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
tamaraw-pc0.005-ps0.0015-w2000000.0,19000,4188.8085,347.9627,3840.8458,20015.0026,4506.1555,15508.8471,0.0000,0.0000,0.0000,3.7782,11.9501,3.0379,0.2302,28.0652,34.5262,0.3647,0.1284
tamaraw-pc0.005-ps0.0015-w4000000.0,19000,4188.8085,347.9627,3840.8458,22481.3969,5034.0803,17447.3167,0.0000,0.0000,0.0000,4.3670,13.4673,3.5426,0.2546,28.0652,35.2116,0.2613,0.0937
tamaraw-pc0.005-ps0.0015-w6000000.0,19000,4188.8085,347.9627,3840.8458,24104.1973,5391.1680,18713.0293,0.0000,0.0000,0.0000,4.7544,14.4935,3.8721,0.2640,28.0652,35.4732,0.1834,0.0755
tamaraw-pc0.005-ps0.0020-w2000000.0,19000,4188.8085,347.9627,3840.8458,16929.9669,4644.9194,12285.0475,0.0000,0.0000,0.0000,3.0417,12.3489,2.1985,0.3278,28.0652,37.2648,0.3713,0.1445
tamaraw-pc0.005-ps0.0020-w4000000.0,19000,4188.8085,347.9627,3840.8458,19090.2095,5257.7308,13832.4787,0.0000,0.0000,0.0000,3.5574,14.1100,2.6014,0.3883,28.0652,38.9625,0.2968,0.1268
tamaraw-pc0.005-ps0.0020-w6000000.0,19000,4188.8085,347.9627,3840.8458,20586.2151,5690.0648,14896.1502,0.0000,0.0000,0.0000,3.9146,15.3525,2.8784,0.4198,28.0652,39.8459,0.2174,0.0971
tamaraw-pc0.005-ps0.0025-w2000000.0,19000,4188.8085,347.9627,3840.8458,15103.3465,4736.3429,10367.0035,0.0000,0.0000,0.0000,2.6056,12.6116,1.6991,0.4127,28.0652,39.6469,0.3487,0.1697
tamaraw-pc0.005-ps0.0025-w4000000.0,19000,4188.8085,347.9627,3840.8458,17037.9117,5417.0376,11620.8742,0.0000,0.0000,0.0000,3.0675,14.5679,2.0256,0.5254,28.0652,42.8106,0.2518,0.1224
tamaraw-pc0.005-ps0.0025-w6000000.0,19000,4188.8085,347.9627,3840.8458,18432.2655,5908.0062,12524.2594,0.0000,0.0000,0.0000,3.4004,15.9788,2.2608,0.5896,28.0652,44.6112,0.1997,0.0942
tamaraw-pc0.005-ps0.0030-w2000000.0,19000,4188.8085,347.9627,3840.8458,13995.9835,4837.4203,9158.5633,0.0000,0.0000,0.0000,2.3413,12.9021,1.3845,0.4913,28.0652,41.8541,0.3468,0.2016
tamaraw-pc0.005-ps0.0030-w4000000.0,19000,4188.8085,347.9627,3840.8458,15778.9617,5575.3016,10203.6601,0.0000,0.0000,0.0000,2.7669,15.0227,1.6566,0.6476,28.0652,46.2403,0.2421,0.1639
tamaraw-pc0.005-ps0.0030-w6000000.0,19000,4188.8085,347.9627,3840.8458,17095.2745,6116.9732,10978.3013,0.0000,0.0000,0.0000,3.0812,16.5794,1.8583,0.7499,28.0652,49.1108,0.1871,0.1284
tamaraw-pc0.005-ps0.0035-w2000000.0,19000,4188.8085,347.9627,3840.8458,13197.7399,4903.2238,8294.5161,0.0000,0.0000,0.0000,2.1507,13.0912,1.1596,0.5546,28.0652,43.6310,0.3374,0.2284
tamaraw-pc0.005-ps0.0035-w4000000.0,19000,4188.8085,347.9627,3840.8458,14862.3417,5684.7875,9177.5542,0.0000,0.0000,0.0000,2.5481,15.3373,1.3895,0.7524,28.0652,49.1818,0.2589,0.1705
tamaraw-pc0.005-ps0.0035-w6000000.0,19000,4188.8085,347.9627,3840.8458,16106.8006,6265.5742,9841.2264,0.0000,0.0000,0.0000,2.8452,17.0065,1.5623,0.9005,28.0652,53.3369,0.1968,0.1466
tamaraw-pc0.005-ps0.0040-w2000000.0,19000,4188.8085,347.9627,3840.8458,12587.2368,4937.7582,7649.4786,0.0000,0.0000,0.0000,2.0050,13.1905,0.9916,0.6003,28.0652,44.9131,0.3413,0.2332
tamaraw-pc0.005-ps0.0040-w4000000.0,19000,4188.8085,347.9627,3840.8458,14153.5603,5753.3626,8400.1977,0.0000,0.0000,0.0000,2.3789,15.5344,1.1871,0.8340,28.0652,51.4702,0.2645,0.1766
tamaraw-pc0.005-ps0.0040-w6000000.0,19000,4188.8085,347.9627,3840.8458,15337.4639,6364.6682,8972.7957,0.0000,0.0000,0.0000,2.6615,17.2912,1.3362,1.0273,28.0652,56.8971,0.2026,0.1513
tamaraw-pc0.010-ps0.0015-w2000000.0,19000,4188.8085,347.9627,3840.8458,18430.3133,2437.6848,15992.6285,0.0000,0.0000,0.0000,3.3999,6.0056,3.1638,0.2689,28.0652,35.6119,0.3776,0.1597
tamaraw-pc0.010-ps0.0015-w4000000.0,19000,4188.8085,347.9627,3840.8458,20672.0538,2669.0859,18002.9679,0.0000,0.0000,0.0000,3.9351,6.6706,3.6872,0.2940,28.0652,36.3155,0.2532,0.1247
