dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
/mnt/ramdisk/front-budget1500-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,4939.5265,721.4755,4218.0509,0.0000,0.0000,0.0000,0.1792,1.0734,0.0982,1.5869,28.0652,72.6018,0.8753,0.8282
/mnt/ramdisk/front-budget1500-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,4951.9258,729.2828,4222.6430,0.0000,0.0000,0.0000,0.1822,1.0959,0.0994,1.0343,28.0652,57.0943,0.8842,0.8376
/mnt/ramdisk/front-budget1500-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5036.9639,772.5290,4264.4349,0.0000,0.0000,0.0000,0.2025,1.2201,0.1103,1.1937,28.0652,61.5663,0.8795,0.8603
/mnt/ramdisk/front-budget1700-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5041.0925,773.6311,4267.4615,0.0000,0.0000,0.0000,0.2035,1.2233,0.1111,2.3612,28.0652,94.3318,0.8634,0.8137
/mnt/ramdisk/front-budget1700-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5053.1828,779.0145,4274.1683,0.0000,0.0000,0.0000,0.2064,1.2388,0.1128,1.4367,28.0652,68.3852,0.8716,0.8332
/mnt/ramdisk/front-budget1700-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5137.9465,821.7368,4316.2097,0.0000,0.0000,0.0000,0.2266,1.3616,0.1238,1.6504,28.0652,74.3841,0.8705,0.8489
/mnt/ramdisk/front-budget2000-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5194.2474,854.3956,4339.8518,0.0000,0.0000,0.0000,0.2400,1.4554,0.1299,3.5268,28.0652,127.0466,0.8582,0.7911
/mnt/ramdisk/front-budget2000-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5202.3110,852.8007,4349.5103,0.0000,0.0000,0.0000,0.2420,1.4508,0.1324,2.2982,28.0652,92.5635,0.8684,0.8466
/mnt/ramdisk/front-budget2000-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5288.5152,896.2484,4392.2667,0.0000,0.0000,0.0000,0.2625,1.5757,0.1436,2.5333,28.0652,99.1631,0.8663,0.8195
/mnt/ramdisk/front-budget2500-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5442.7419,973.2104,4469.5315,0.0000,0.0000,0.0000,0.2994,1.7969,0.1637,6.9073,28.0652,221.9190,0.8445,0.7466
/mnt/ramdisk/front-budget2500-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5450.0062,978.1901,4471.8162,0.0000,0.0000,0.0000,0.3011,1.8112,0.1643,4.2283,28.0652,146.7341,0.8539,0.8155
/mnt/ramdisk/front-budget2500-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5531.7063,1020.1498,4511.5564,0.0000,0.0000,0.0000,0.3206,1.9318,0.1746,4.5726,28.0652,156.3971,0.8558,0.8274
/mnt/ramdisk/front-budget3000-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5696.1495,1106.3618,4589.7877,0.0000,0.0000,0.0000,0.3598,2.1795,0.1950,10.1122,28.0652,311.8658,0.8279,0.7542
/mnt/ramdisk/front-budget3000-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5699.8083,1102.5846,4597.2237,0.0000,0.0000,0.0000,0.3607,2.1687,0.1969,6.6592,28.0652,214.9581,0.8337,0.8103
/mnt/ramdisk/front-budget3000-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5787.4083,1149.5859,4637.8224,0.0000,0.0000,0.0000,0.3816,2.3038,0.2075,6.9289,28.0652,222.5262,0.8411,0.7966
/mnt/ramdisk/front-budget1500-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,4940.5953,725.6175,4214.9777,0.0000,0.0000,0.0000,0.1795,1.0853,0.0974,1.6876,28.0652,75.4274,0.8742,0.7963
/mnt/ramdisk/front-budget1500-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,4949.6373,728.1554,4221.4819,0.0000,0.0000,0.0000,0.1816,1.0926,0.0991,0.9761,28.0652,55.4585,0.8834,0.8516
/mnt/ramdisk/front-budget1500-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,5043.0688,773.6426,4269.4262,0.0000,0.0000,0.0000,0.2039,1.2233,0.1116,1.2431,28.0652,62.9534,0.8745,0.8526
/mnt/ramdisk/front-budget1700-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,5043.1712,773.6666,4269.5046,0.0000,0.0000,0.0000,0.2040,1.2234,0.1116,2.3108,28.0652,92.9179,0.8653,0.8008
/mnt/ramdisk/front-budget1700-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,5046.7927,777.0954,4269.6973,0.0000,0.0000,0.0000,0.2048,1.2333,0.1117,1.4215,28.0652,67.9613,0.8750,0.8497
/mnt/ramdisk/front-budget1700-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,5141.4400,823.9805,4317.4595,0.0000,0.0000,0.0000,0.2274,1.3680,0.1241,1.6129,28.0652,73.3308,0.8808,0.8284
/mnt/ramdisk/front-budget2000-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,5191.2138,850.1563,4341.0575,0.0000,0.0000,0.0000,0.2393,1.4432,0.1302,3.6609,28.0652,130.8082,0.8629,0.7997
/mnt/ramdisk/front-budget2000-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,5202.3788,855.4398,4346.9391,0.0000,0.0000,0.0000,0.2420,1.4584,0.1318,2.2047,28.0652,89.9418,0.8666,0.8489
/mnt/ramdisk/front-budget2000-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,5287.7794,898.1613,4389.6181,0.0000,0.0000,0.0000,0.2624,1.5812,0.1429,2.5040,28.0652,98.3402,0.8689,0.8266
/mnt/ramdisk/front-budget2500-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,5447.0201,979.2867,4467.7334,0.0000,0.0000,0.0000,0.3004,1.8143,0.1632,6.7597,28.0652,217.7790,0.8497,0.7653
/mnt/ramdisk/front-budget2500-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,5456.0487,984.5269,4471.5217,0.0000,0.0000,0.0000,0.3025,1.8294,0.1642,4.2517,28.0652,147.3891,0.8584,0.8105
