dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
/mnt/ramdisk/front-budget1500-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,4945.5081,723.6174,4221.8907,0.0000,0.0000,0.0000,0.1806,1.0796,0.0992,0.0000,28.0652,28.0652,0.9063,0.8166
/mnt/ramdisk/front-budget1500-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,4952.4199,729.1516,4223.2684,0.0000,0.0000,0.0000,0.1823,1.0955,0.0996,0.0000,28.0652,28.0652,0.9071,0.8529
/mnt/ramdisk/front-budget1500-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5037.1334,772.8498,4264.2836,0.0000,0.0000,0.0000,0.2025,1.2211,0.1102,0.0000,28.0652,28.0652,0.9066,0.8626
/mnt/ramdisk/front-budget1700-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5047.5564,777.6170,4269.9394,0.0000,0.0000,0.0000,0.2050,1.2348,0.1117,0.0000,28.0652,28.0652,0.9061,0.8124
/mnt/ramdisk/front-budget1700-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5054.1674,779.7524,4274.4150,0.0000,0.0000,0.0000,0.2066,1.2409,0.1129,0.0000,28.0652,28.0652,0.9071,0.8637
/mnt/ramdisk/front-budget1700-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5137.3892,821.4851,4315.9041,0.0000,0.0000,0.0000,0.2265,1.3608,0.1237,0.0000,28.0652,28.0652,0.9118,0.8639
/mnt/ramdisk/front-budget2000-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5200.7644,855.8775,4344.8868,0.0000,0.0000,0.0000,0.2416,1.4597,0.1312,0.0000,28.0652,28.0652,0.9039,0.8013
/mnt/ramdisk/front-budget2000-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5201.9374,853.0426,4348.8947,0.0000,0.0000,0.0000,0.2419,1.4515,0.1323,0.0000,28.0652,28.0652,0.9034,0.8495
/mnt/ramdisk/front-budget2000-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5288.2344,896.0254,4392.2091,0.0000,0.0000,0.0000,0.2625,1.5751,0.1436,0.0000,28.0652,28.0652,0.9037,0.8282
/mnt/ramdisk/front-budget2500-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5452.2708,977.2114,4475.0595,0.0000,0.0000,0.0000,0.3016,1.8084,0.1651,0.0000,28.0652,28.0652,0.9050,0.7787
/mnt/ramdisk/front-budget2500-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5450.6410,977.6883,4472.9527,0.0000,0.0000,0.0000,0.3012,1.8098,0.1646,0.0000,28.0652,28.0652,0.9108,0.8232
/mnt/ramdisk/front-budget2500-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5531.5782,1020.1649,4511.4133,0.0000,0.0000,0.0000,0.3206,1.9318,0.1746,0.0000,28.0652,28.0652,0.9058,0.8234
/mnt/ramdisk/front-budget3000-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,5704.3065,1111.5679,4592.7386,0.0000,0.0000,0.0000,0.3618,2.1945,0.1958,0.0000,28.0652,28.0652,0.9018,0.7711
/mnt/ramdisk/front-budget3000-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,5704.7083,1106.2489,4598.4593,0.0000,0.0000,0.0000,0.3619,2.1792,0.1973,0.0000,28.0652,28.0652,0.9100,0.8176
/mnt/ramdisk/front-budget3000-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,5787.4974,1149.1825,4638.3148,0.0000,0.0000,0.0000,0.3817,2.3026,0.2076,0.0000,28.0652,28.0652,0.9105,0.7855
/mnt/ramdisk/front-budget1500-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,4946.1651,729.3246,4216.8404,0.0000,0.0000,0.0000,0.1808,1.0960,0.0979,0.0000,28.0652,28.0652,0.9079,0.8263
/mnt/ramdisk/front-budget1500-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,4949.5513,727.5309,4222.0204,0.0000,0.0000,0.0000,0.1816,1.0908,0.0992,0.0000,28.0652,28.0652,0.9032,0.8555
/mnt/ramdisk/front-budget1500-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,5042.8713,773.7130,4269.1583,0.0000,0.0000,0.0000,0.2039,1.2236,0.1115,0.0000,28.0652,28.0652,0.9063,0.8545
/mnt/ramdisk/front-budget1700-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,5048.9214,775.8442,4273.0772,0.0000,0.0000,0.0000,0.2053,1.2297,0.1125,0.0000,28.0652,28.0652,0.9061,0.7816
/mnt/ramdisk/front-budget1700-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,5047.6488,777.0788,4270.5700,0.0000,0.0000,0.0000,0.2050,1.2332,0.1119,0.0000,28.0652,28.0652,0.9034,0.8566
/mnt/ramdisk/front-budget1700-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,5141.9388,823.9835,4317.9553,0.0000,0.0000,0.0000,0.2275,1.3680,0.1242,0.0000,28.0652,28.0652,0.9087,0.8516
/mnt/ramdisk/front-budget2000-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,5198.3148,853.6594,4344.6554,0.0000,0.0000,0.0000,0.2410,1.4533,0.1312,0.0000,28.0652,28.0652,0.9042,0.8097
/mnt/ramdisk/front-budget2000-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,5203.8913,857.2617,4346.6295,0.0000,0.0000,0.0000,0.2423,1.4637,0.1317,0.0000,28.0652,28.0652,0.9039,0.8245
/mnt/ramdisk/front-budget2000-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,5287.6722,897.9661,4389.7061,0.0000,0.0000,0.0000,0.2623,1.5806,0.1429,0.0000,28.0652,28.0652,0.9013,0.8432
/mnt/ramdisk/front-budget2500-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,5456.6163,982.5309,4474.0853,0.0000,0.0000,0.0000,0.3027,1.8237,0.1649,0.0000,28.0652,28.0652,0.9034,0.7482
